date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,All States
20000101,996,106,1036,652,3753,681,341,123,48,2999,1541,132,276,1418,886,445,461,820,938,169,588,433,1382,625,949,1157,237,276,323,126,731,432,1460,1557,86,1366,650,451,1520,80,1065,173,1307,3779,373,76,929,631,411,799,152,41945
20010101,991,89,1051,611,3956,741,318,136,68,3012,1647,140,259,1414,909,446,494,845,952,192,659,477,1328,568,784,1098,230,246,314,142,745,464,1564,1530,105,1378,682,488,1532,81,1060,171,1251,3736,291,92,935,649,376,763,186,42196
20020101,1038,89,1132,640,4088,743,325,124,47,3136,1524,119,264,1420,792,405,507,915,907,216,661,459,1277,657,885,1208,269,307,381,127,771,449,1530,1576,97,1418,739,436,1614,84,1053,180,1177,3823,328,78,914,658,439,803,176,43005
20030101,1004,98,1118,640,4224,642,298,142,67,3169,1603,133,293,1454,833,443,469,928,940,207,650,462,1283,655,872,1232,262,293,368,127,733,439,1493,1553,105,1274,671,512,1577,104,969,203,1193,3821,309,69,943,600,394,848,165,42884
20040101,1154,101,1151,703,4120,667,294,134,43,3244,1634,142,260,1355,947,388,459,964,927,194,643,476,1159,567,900,1130,229,254,395,171,723,521,1495,1573,100,1286,774,456,1490,83,1046,197,1339,3699,296,98,922,567,410,792,164,42836
20050101,1148,73,1179,654,4333,606,278,133,48,3518,1729,140,275,1363,938,450,428,985,963,169,614,441,1129,559,931,1257,251,276,427,166,747,488,1434,1547,123,1321,803,487,1616,87,1094,186,1270,3536,282,73,947,649,374,815,170,43510
20060101,1207,74,1293,665,4240,535,311,148,37,3357,1693,161,267,1254,902,439,468,913,987,188,652,429,1086,494,911,1096,264,269,431,127,771,484,1454,1554,111,1238,765,478,1525,81,1045,191,1284,3531,287,87,962,633,410,724,195,42708
20070101,1110,82,1071,649,3995,554,296,117,44,3213,1641,138,252,1248,898,446,416,864,993,183,614,434,1087,510,884,992,277,256,373,129,724,413,1332,1676,111,1255,766,455,1491,69,1077,146,1211,3466,299,66,1027,571,432,756,150,41259
20080101,969,62,938,600,3434,548,302,121,34,2980,1495,107,232,1043,820,412,384,825,916,155,591,364,980,455,783,960,229,208,324,138,590,366,1238,1428,104,1191,750,416,1468,65,921,121,1043,3476,276,73,825,521,378,605,159,37423
20090101,848,64,806,596,3090,465,224,116,29,2560,1292,109,226,911,693,371,386,791,824,159,549,340,872,421,700,878,221,223,243,110,584,361,1158,1313,140,1022,737,377,1256,83,894,131,986,3104,244,74,758,492,357,561,134,33883
20100101,862,56,759,571,2720,450,320,101,24,2444,1247,113,209,927,754,390,431,760,721,161,496,347,942,411,641,821,189,190,257,128,556,349,1201,1320,105,1080,668,317,1324,67,809,140,1032,3023,253,71,740,460,315,572,155,32999
20110101,895,72,826,551,2816,447,221,99,27,2400,1226,100,167,918,751,360,386,720,680,136,485,374,889,368,630,786,209,181,246,90,627,350,1171,1230,148,1017,696,331,1286,66,828,111,937,3054,243,55,764,454,338,582,135,32479
20120101,865,59,821,560,2966,474,264,114,15,2431,1192,125,184,956,781,365,405,746,723,164,511,383,940,395,582,826,205,212,261,108,589,366,1180,1299,170,1121,709,337,1310,64,863,133,1015,3408,217,77,776,438,339,615,123,33782
20130101,853,51,849,498,3107,482,286,99,20,2403,1180,102,214,991,784,317,350,638,703,144,465,351,947,387,613,757,229,211,266,135,542,311,1202,1290,148,989,678,313,1210,65,767,135,995,3389,220,69,740,436,332,543,87,32893
20140101,820,73,773,470,3102,488,248,124,23,2494,1164,95,186,924,745,322,385,672,740,131,442,354,901,361,607,766,192,225,291,95,556,386,1041,1284,135,1006,669,357,1195,51,823,136,963,3536,256,44,703,462,272,506,150,32744
20150101,850,65,897,550,3387,547,270,131,23,2938,1432,93,216,998,817,320,355,761,752,156,520,344,967,411,677,870,224,246,326,114,561,298,1136,1379,131,1110,645,446,1200,45,979,134,962,3582,278,57,754,551,268,566,145,35484
20160101,1083,84,952,561,3837,608,304,119,27,3176,1556,120,253,1078,829,402,429,834,757,160,522,387,1065,392,687,947,190,218,329,136,602,405,1041,1450,113,1132,687,498,1188,51,1020,116,1037,3797,281,62,760,536,269,607,112,37806
20170101,948,79,998,525,3884,648,281,119,31,3116,1540,107,245,1090,916,330,461,782,770,173,558,347,1031,358,685,932,186,228,311,102,624,380,1006,1412,116,1179,657,439,1137,84,989,129,1024,3732,273,69,839,563,304,613,123,37473
20180101,953,80,1010,516,3563,632,294,111,31,3133,1504,117,231,1031,858,318,404,724,768,137,501,360,974,381,664,921,182,230,330,147,564,391,943,1437,105,1068,655,506,1190,59,1037,130,1041,3642,260,68,820,546,294,588,111,36560
